Station;OBERGURGL;;;;;;;;
Altitude;1942;;;;;;;;
Easting;224055;;;;;;;;
Northing;332234;;;;;;;;
year;month;day;hour;temp;precip;short_in;rel_hum;wind_speed;long_in
2010;1;1;0;266,95;0;0;70;1,4;199,9884986
2010;1;1;1;266,55;0;0;67;1,2;196,1069676
2010;1;1;2;267,15;0;0;64;1;196,5753584
2010;1;1;3;266,95;0;0;62;1,1;194,4979386
2010;1;1;4;266,15;0;0;65;1;193,1438279
2010;1;1;5;266,95;0;0;63;0,8;195,1158282
2010;1;1;6;266,55;0;0;63;0,5;193,4972306
2010;1;1;7;266,25;0;0;63;0,4;192,2978668
2010;1;1;8;266,55;0;25;62;0,7;192,8909688
2010;1;1;9;267,75;0;69,44;58;0,5;195,3786382
2010;1;1;10;268,75;0;122,22;56;0,5;198,3208831
2010;1;1;11;270,85;0;213,89;52;0,9;204,8621021
2010;1;1;12;271,35;0;225;50;0,1;205,8537037
2010;1;1;13;269,55;0;169,44;59;1,1;203,5161486
2010;1;1;14;270,75;0;188,89;57;0,2;207,5032914
2010;1;1;15;268,45;0;83,33;60;1,4;199,4519587
2010;1;1;16;266,85;0;8,33;63;1,1;194,7090723
2010;1;1;17;267,55;0;0;63;1,3;197,5863984
2010;1;1;18;267,65;0;0;65;1,6;199,3365076
2010;1;1;19;268,45;0;0;66;0,4;203,4989083
2010;1;1;20;267,95;0;0;69;0,3;203,5676035
2010;1;1;21;267,55;0;0;71;0,3;203,4002616
2010;1;1;22;267,85;0;0;72;0,7;205,578078
2010;1;1;23;267,05;0,1;0;87;0,3;218,2019561
2010;1;2;0;267,15;0,3;0;90;0,3;223,1374597
2010;1;2;1;268,35;0,4;0;86;1;223,4661628
2010;1;2;2;267,95;0;0;85;5,4;220,0271352
2010;1;2;3;267,35;0;0;86;5,5;218,3365188
2010;1;2;4;266,85;0;0;82;6,7;210,8893428
2010;1;2;5;266,45;0,1;0;83;7;210,1602995
2010;1;2;6;265,35;0;0;86;7,1;208,6483487
2010;1;2;7;264,15;0;0;86;7,6;203,1747242
2010;1;2;8;263,15;0,1;27,78;85;6,8;197,6542649
2010;1;2;9;262,65;0;100;83;7;193,4263729
2010;1;2;10;262,45;0;158,33;78;7,3;187,9847051
2010;1;2;11;262,25;0;200;72;6,4;182,6799209
2010;1;2;12;261,55;0;200;76;6,3;182,9452877
2010;1;2;13;261,45;0;191,67;68;6,6;177,2938406
2010;1;2;14;261,15;0;111,11;75;6,4;180,7270044
2010;1;2;15;259,75;0;38,89;81;6,7;180,3094807
2010;1;2;16;259,65;0;5,56;76;8,5;176,0649573
2010;1;2;17;259,45;0;0;75;7,9;174,6753103
2010;1;2;18;259,55;0;0;73;6,9;173,7108128
2010;1;2;19;259,65;0;0;69;6,9;173,5230804
2010;1;2;20;259,35;0;0;71;6,9;174,2596314
2010;1;2;21;259,05;0;0;74;6,2;179,3539018
2010;1;2;22;258,65;0;0;74;4,2;176,7629137
2010;1;2;23;257,65;0;0;76;1,2;171,9109547
2010;1;3;0;257,45;0;0;77;1,4;172,0627961
2010;1;3;1;257,05;0;0;77;1,3;170,7289154
2010;1;3;2;256,85;0;0;77;1,1;170,0678367
2010;1;3;3;256,45;0;0;75;1,3;165,4945442
2010;1;3;4;256,25;0;0;71;2;163,4563229
2010;1;3;5;256,25;0;0;70;1,7;162,5302805
2010;1;3;6;255,75;0;0;69;1,3;158,3874743
2010;1;3;7;255,85;0;0;68;1,2;156,953677
2010;1;3;8;256,15;0;13,89;64;1,4;154,3667483
2010;1;3;9;256,95;0;41,67;61;1,2;155,027259
2010;1;3;10;259,45;0;100;51;1,1;161,2527497
2010;1;3;11;262,45;0;247,22;46;1;170,2946761
2010;1;3;12;263,35;0;311,11;41;0,2;172,3459893
2010;1;3;13;264,05;0;322,22;39;1,1;176,7991699
2010;1;3;14;263,75;0;200;38;1,9;175,5715067
2010;1;3;15;260,55;0;58,33;45;1,8;166,3002804
2010;1;3;16;260,05;0;8,33;46;1,1;164,0085577
2010;1;3;17;259,05;0;0;47;1,1;160,7272634
2010;1;3;18;259,85;0;0;46;1,1;163,4884304
2010;1;3;19;259,75;0;0;45;1,5;162,7679541
2010;1;3;20;259,55;0;0;45;1,2;162,0510405
2010;1;3;21;259,65;0;0;44;0,8;162,3336474
2010;1;3;22;259,65;0;0;44;1,2;162,2684915
2010;1;3;23;259,35;0;0;44;1,5;161,5268809
2010;1;4;0;259,45;0;0;43;1,7;161,037434
2010;1;4;1;258,95;0;0;44;1,2;159,7303978
2010;1;4;2;259,95;0;0;43;0,9;162,4900812
2010;1;4;3;259,65;0;0;43;0,5;161,2922712
2010;1;4;4;260,45;0;0;42;1,5;163,0125087
2010;1;4;5;260,85;0;0;43;1,1;164,7364249
2010;1;4;6;262,75;0;0;44;1,5;171,630434
2010;1;4;7;262,25;0;0;49;0,3;171,5959788
2010;1;4;8;262,65;0;16,67;50;0,4;172,5686551
2010;1;4;9;262,25;0;75;81;0,1;182,5164831
2010;1;4;10;263,45;0,1;161,11;83;0;189,4423929
2010;1;4;11;264,05;0;177,78;83;0,3;200,6785517
2010;1;4;12;264,95;0;300;80;0,4;206,9919221
2010;1;4;13;263,85;0;219,44;72;0,7;187,7769469
2010;1;4;14;263,95;0;141,67;71;0,6;189,5021858
2010;1;4;15;264,15;0;58,33;74;0,2;195,6891767
2010;1;4;16;263,65;0;8,33;76;0;193,4772317
2010;1;4;17;263,25;0;0;75;0,5;190,9387195
2010;1;4;18;263,15;0;0;75;0,2;191,0476103
2010;1;4;19;262,75;0;0;76;0,5;187,5169665
2010;1;4;20;262,55;0;0;76;0,3;184,7857887
2010;1;4;21;262,75;0;0;76;0,7;184,2191082
2010;1;4;22;263,05;0;0;77;0,3;184,4946945
2010;1;4;23;263,65;0;0;76;0,4;187,102357
2010;1;5;0;264,45;0;0;75;0,5;187,6684166
2010;1;5;1;264,75;0;0;74;0,7;192,0769919
2010;1;5;2;266,35;0;0;70;1,1;201,3654261
2010;1;5;3;265,25;0;0;72;0,4;200,9682528
2010;1;5;4;265,35;0;0;65;0,6;191,2805485
2010;1;5;5;263,85;0;0;65;0,4;183,1659213
2010;1;5;6;264,85;0;0;64;0,6;189,7990278
2010;1;5;7;264,35;0;0;63;0,5;184,1881843
2010;1;5;8;263,95;0;13,89;62;1;180,3496106
2010;1;5;9;264,75;0;44,44;62;1,2;183,2754583
2010;1;5;10;265,65;0;75;60;0,7;186,1790852
2010;1;5;11;266,45;0;91,67;59;0,3;187,3105316
2010;1;5;12;267,05;0;102,78;58;1,1;191,0416023
2010;1;5;13;269,45;0;258,33;52;1,3;206,606231
2010;1;5;14;268,15;0;161,11;54;1,7;200,87372
2010;1;5;15;265,85;0;63,89;59;1,1;191,7394922
2010;1;5;16;265,25;0;13,89;60;0,4;190,1759294
2010;1;5;17;264,35;0;0;64;0,5;187,0240196
2010;1;5;18;263,75;0;0;65;0,2;182,6005483
2010;1;5;19;263,75;0;0;65;0,4;183,2073781
2010;1;5;20;264,35;0;0;64;0,9;185,5424699
2010;1;5;21;264,05;0;0;64;0,6;183,3957556
2010;1;5;22;264,35;0;0;63;0,6;185,642041
2010;1;5;23;264,55;0;0;63;0,2;188,5306043
2010;1;6;0;264,05;0;0;64;0,3;187,704505
2010;1;6;1;263,45;0;0;63;0,6;183,5676497
2010;1;6;2;262,85;0;0;63;0,6;179,1182984
2010;1;6;3;262,65;0;0;63;0,7;176,7664946
2010;1;6;4;263,05;0;0;62;1,4;178,8155264
2010;1;6;5;263,85;0;0;64;0,9;185,708495
2010;1;6;6;263,55;0;0;65;0,3;183,8731659
2010;1;6;7;263,05;0;0;66;0,7;180,7466655
2010;1;6;8;263,25;0;13,89;67;0,3;180,2747864
2010;1;6;9;263,55;0;38,89;66;0,8;180,4812594
2010;1;6;10;264,65;0;58,33;64;0,7;183,8538745
2010;1;6;11;265,25;0;63,89;64;0,2;184,6121094
2010;1;6;12;266,25;0;116,67;61;0,6;189,1737663
2010;1;6;13;268,15;0;286,11;56;1,4;206,3104541
2010;1;6;14;267,45;0;172,22;57;1,6;204,7180932
2010;1;6;15;264,45;0;63,89;63;1,2;186,7504489
2010;1;6;16;263,75;0;8,33;65;1;184,878345
2010;1;6;17;263,85;0;0;66;0,8;187,4539319
2010;1;6;18;263,35;0;0;66;0,7;185,9173618
2010;1;6;19;262,95;0;0;67;0,8;183,2048013
2010;1;6;20;262,35;0;0;67;0,6;177,5545907
2010;1;6;21;262,55;0;0;66;1,5;178,5478081
2010;1;6;22;263,45;0;0;66;0,7;188,6375086
2010;1;6;23;263,25;0;0;66;0,7;187,8841549
2010;1;7;0;261,85;0;0;71;0,4;180,5498199
2010;1;7;1;261,65;0;0;77;0,2;182,8305406
2010;1;7;2;261,85;0;0;79;0,4;185,0855156
2010;1;7;3;261,95;0;0;79;0,2;184,6098052
2010;1;7;4;262,15;0;0;83;0,4;190,1847542
2010;1;7;5;262,45;0,1;0;86;0,5;202,885867
2010;1;7;6;262,35;0,5;0;88;0,5;215,2830432
2010;1;7;7;261,65;0;0;84;0,4;194,0301674
2010;1;7;8;260,85;0;16,67;80;0,9;179,2378628
2010;1;7;9;261,15;0;41,67;77;1,4;175,7405995
2010;1;7;10;261,85;0;61,11;67;1,3;174,0200147
2010;1;7;11;263,25;0;72,22;59;0,5;175,3010855
2010;1;7;12;264,15;0;102,78;55;0,5;178,6309257
2010;1;7;13;266,85;0;277,78;47;0,5;188,2033354
2010;1;7;14;265,75;0;172,22;48;1,4;183,7911623
2010;1;7;15;265,25;0;63,89;50;0,7;180,9955541
2010;1;7;16;264,95;0;8,33;53;0,3;181,5243883
2010;1;7;17;266,55;0;0;51;0,8;187,8822205
2010;1;7;18;265,65;0;0;54;1,5;184,8827775
2010;1;7;19;265,95;0;0;57;0,4;187,5162322
2010;1;7;20;265,95;0;0;59;0,5;188,2068897
2010;1;7;21;266,15;0;0;59;2,1;190,1570383
2010;1;7;22;266,35;0;0;58;3,5;190,3629864
2010;1;7;23;265,85;0;0;64;2,5;190,6661449
2010;1;8;0;266,05;0;0;64;0,4;192,1146617
2010;1;8;1;266,15;0;0;67;0,5;191,9252529
2010;1;8;2;266,05;0;0;80;1,2;203,8909956
2010;1;8;3;267,25;0;0;79;1,2;219,7926013
2010;1;8;4;266,25;0;0;84;0,2;206,5689745
2010;1;8;5;265,85;0,1;0;90;0,2;208,4194033
2010;1;8;6;266,85;0;0;91;0,3;210,6052002
2010;1;8;7;266,85;0,3;0;92;0,1;207,0252045
2010;1;8;8;268,45;0,1;16,67;92;0,2;204,564422
2010;1;8;9;269,35;0,1;94,44;91;0;208,8618836
2010;1;8;10;274,35;0;158,33;67;1,4;228,7971098
2010;1;8;11;275,15;0;202,78;64;1,8;303,2863328
2010;1;8;12;275,35;0;197,22;63;2,7;421,408335
2010;1;8;13;268,55;0;194,44;79;1,1;235,6562585
2010;1;8;14;266,45;0;100;89;0,6;219,0132175
2010;1;8;15;266,35;0;55,56;90;0,2;201,0817303
2010;1;8;16;266,35;0;8,33;91;0,2;218,5546334
2010;1;8;17;269,45;0;0;91;0,2;309,0185612
2010;1;8;18;266,55;0,1;0;92;0,1;212,6391563
2010;1;8;19;266,45;0,1;0;92;0;238,4642066
2010;1;8;20;267,75;0;0;92;0,2;272,6296702
2010;1;8;21;265,35;0;0;93;0,2;215,4818974
2010;1;8;22;265,55;0;0;95;0;215,3880988
2010;1;8;23;265,65;0;0;92;0,1;204,645371
2010;1;9;0;266,25;0;0;93;0,2;202,8880875
2010;1;9;1;267,45;0;0;92;0;214,5853774
2010;1;9;2;269,25;0;0;89;0,2;226,7392377
2010;1;9;3;269,05;0;0;90;0;230,4270707
2010;1;9;4;269,95;0;0;86;0,1;232,9854271
2010;1;9;5;269,35;0;0;84;0,1;224,4978318
2010;1;9;6;269,85;0;0;73;1,1;214,7077427
2010;1;9;7;269,55;0;0;72;0,6;212,0336488
2010;1;9;8;270,15;0;22,22;68;0,8;212,5344429
2010;1;9;9;269,95;0;77,78;70;0,6;211,9939273
2010;1;9;10;270,25;0;130,56;75;0,1;336,8598164
2010;1;9;11;270,45;0;161,11;72;0,4;316,1896812
2010;1;9;12;264,45;0;133,33;91;1;207,4838499
2010;1;9;13;264,55;0,4;91,67;89;0,4;213,9267171
2010;1;9;14;264,85;0,8;58,33;90;0,2;225,3212738
2010;1;9;15;264,05;1,1;41,67;90;0,2;214,4269187
2010;1;9;16;263,75;1;5,56;90;0,3;213,0071468
2010;1;9;17;263,45;1;0;90;0,2;181,2812887
2010;1;9;18;263,15;0,9;0;91;0,3;180,3533969
2010;1;9;19;271,15;0,8;0;64;1;218,059985
2010;1;9;20;270,85;0,7;0;71;3;224,5759515
2010;1;9;21;269,95;0,4;0;77;1,5;224,0304419
2010;1;9;22;269,65;0,2;0;82;1,3;227,8918556
2010;1;9;23;269,35;0,2;0;91;0,3;233,6624714
2010;1;10;0;269,25;0,4;0;90;0,8;236,759237
2010;1;10;1;269,65;0,3;0;82;0,9;237,7872025
2010;1;10;2;269,05;0,1;0;76;2,2;220,837828
2010;1;10;3;268,25;0;0;82;0,4;236,8267592
2010;1;10;4;268,05;0;0;79;0,9;222,7913824
2010;1;10;5;266,35;0;0;78;0,5;197,7699208
2010;1;10;6;266,75;0;0;76;1,1;205,6777188
2010;1;10;7;268,05;0;0;70;1;208,8560969
2010;1;10;8;266,45;0;16,67;75;0,5;196,6182724
2010;1;10;9;267,05;0;69,44;70;0,5;195,0489725
2010;1;10;10;268,05;0;147,22;66;1;199,076591
2010;1;10;11;269,35;0;219,44;63;0,2;204,4548262
2010;1;10;12;269,25;0;169,44;61;0,8;210,0502984
2010;1;10;13;269,75;0;333,33;67;0,7;244,028777
