datum,schnee,neuschnee
19990101,36,0
19990102,35,-1
19990103,39,4
19990104,40,1
19990105,42,3
19990106,41,-1
19990107,41,-1
19990108,40,-1
19990109,42,2
19990110,42,0
19990111,44,3
19990112,50,7
19990113,50,2
19990114,50,1
19990115,51,2
19990116,50,-1
19990117,49,-1
19990118,49,-1
19990119,48,-1
19990120,47,-1
19990121,46,-1
19990122,45,-1
19990123,44,-1
19990124,43,-1
19990125,43,-1
19990126,42,-1
19990127,47,5
19990128,57,12
19990129,73,22
19990130,71,2
19990131,70,1
19990201,69,-1
19990202,69,1
19990203,68,0
19990204,72,5
19990205,72,1
19990206,87,15
19990207,90,8
19990208,95,10
19990209,97,4
19990210,103,8
19990211,102,0
19990212,102,1
19990213,101,1
19990214,103,3
19990215,108,7
19990216,106,-1
19990217,107,3
19990218,120,15
19990219,128,13
19990220,151,31
19990221,150,7
19990222,167,28
19990223,171,10
19990224,170,9
19990225,180,16
19990226,173,-1
19990227,170,-1
19990228,168,-1
19990301,160,-1
19990302,158,2
19990303,156,-1
19990304,148,1
19990305,181,40
19990306,172,3
19990307,180,15
19990308,174,0
19990309,173,3
19990310,168,-1
19990311,166,-1
19990312,159,-1
19990313,152,-1
19990314,146,-1
19990315,140,-1
19990316,137,-1
19990317,134,-1
19990318,131,-1
19990319,128,-1
19990320,127,1
19990321,125,-1
19990322,122,-1
19990323,122,1
19990324,127,8
19990325,123,-1
19990326,120,-1
19990327,119,2
19990328,123,5
19990329,121,1
19990330,118,-1
19990331,115,-1
19990401,112,-1
19990402,109,-1
19990403,106,-1
19990404,103,1
19990405,101,2
19990406,100,-1
19990407,94,-1
19990408,101,8
19990409,98,2
19990410,95,-1
19990411,92,-1
19990412,91,0
19990413,92,3
19990414,91,1
19990415,91,0
19990416,110,20
19990417,134,31
19990418,122,1
19990419,117,4
19990420,115,1
19990421,112,0
19990422,108,2
19990423,102,-1
19990424,98,0
19990425,94,-1
19990426,90,-1
19990427,85,-1
19990428,77,-1
19990429,70,-1
19990430,65,-1
19990501,57,-1
19990502,50,-1
19990503,41,-1
19990504,37,-1
19990505,32,-1
19990506,27,-1
19990507,22,-1
19990508,20,-1
19990509,18,0
19990510,16,-1
19990511,12,-1
19990512,8,-1
19990513,4,-1
19990514,2,-1
19990515,-1,-1
19990516,-1,-1
19990517,-1,-1
19990518,-1,-1
19990519,-1,-1
19990520,-1,-1
19990521,-1,-1
19990522,29,29
19990523,13,-1
19990524,5,-1
19990525,-1,-1
19990526,-1,-1
19990527,-1,-1
19990528,-1,-1
19990529,-1,-1
19990530,-1,-1
19990531,-1,-1
19990601,-1,-1
19990602,-1,-1
19990603,-1,-1
19990604,-1,-1
19990605,-1,-1
19990606,-1,-1
19990607,-1,-1
19990608,-1,-1
19990609,-1,-1
19990610,-1,-1
19990611,-1,-1
19990612,-1,-1
19990613,-1,-1
19990614,-1,-1
19990615,-1,-1
19990616,-1,-1
19990617,-1,-1
19990618,-1,-1
19990619,-1,-1
19990620,-1,-1
19990621,-1,-1
19990622,3,3
19990623,-1,-1
19990624,-1,-1
19990625,-1,-1
19990626,-1,-1
19990627,-1,-1
19990628,-1,-1
19990629,-1,-1
19990630,-1,-1
19990701,-1,-1
19990702,-1,-1
19990703,-1,-1
19990704,-1,-1
19990705,-1,-1
19990706,-1,-1
19990707,-1,-1
19990708,-1,-1
19990709,-1,-1
19990710,-1,-1
19990711,-1,-1
19990712,-1,-1
19990713,-1,-1
19990714,-1,-1
19990715,-1,-1
19990716,-1,-1
19990717,-1,-1
19990718,-1,-1
19990719,-1,-1
19990720,-1,-1
19990721,-1,-1
19990722,-1,-1
19990723,-1,-1
19990724,-1,-1
19990725,-1,-1
19990726,-1,-1
19990727,-1,-1
19990728,-1,-1
19990729,-1,-1
19990730,-1,-1
19990731,-1,-1
19990801,-1,-1
19990802,-1,-1
19990803,-1,-1
19990804,-1,-1
19990805,-1,-1
19990806,-1,-1
19990807,-1,-1
19990808,-1,-1
19990809,-1,-1
19990810,-1,-1
19990811,-1,-1
19990812,-1,-1
19990813,-1,-1
19990814,-1,-1
19990815,-1,-1
19990816,-1,-1
19990817,-1,-1
19990818,-1,-1
19990819,-1,-1
19990820,-1,-1
19990821,-1,-1
19990822,-1,-1
19990823,-1,-1
19990824,-1,-1
19990825,-1,-1
19990826,-1,-1
19990827,-1,-1
19990828,-1,-1
19990829,-1,-1
19990830,-1,-1
19990831,-1,-1
19990901,-1,-1
19990902,-1,-1
19990903,-1,-1
19990904,-1,-1
19990905,-1,-1
19990906,-1,-1
19990907,-1,-1
19990908,-1,-1
19990909,-1,-1
19990910,-1,-1
19990911,-1,-1
19990912,-1,-1
19990913,-1,-1
19990914,-1,-1
19990915,-1,-1
19990916,-1,-1
19990917,-1,-1
19990918,-1,-1
19990919,-1,-1
19990920,-1,-1
19990921,-1,-1
19990922,-1,-1
19990923,-1,-1
19990924,-1,-1
19990925,-1,-1
19990926,-1,-1
19990927,-1,-1
19990928,-1,-1
19990929,-1,-1
19990930,-1,-1
19991001,1,1
19991002,-1,-1
19991003,-1,-1
19991004,20,20
19991005,9,1
19991006,7,0
19991007,5,-1
19991008,-1,-1
19991009,-1,-1
19991010,-1,-1
19991011,-1,-1
19991012,-1,-1
19991013,-1,-1
19991014,-1,-1
19991015,-1,-1
19991016,-1,-1
19991017,-1,-1
19991018,-1,-1
19991019,-1,-1
19991020,-1,-1
19991021,-1,-1
19991022,-1,-1
19991023,-1,-1
19991024,2,2
19991025,-1,-1
19991026,-1,-1
19991027,-1,-1
19991028,-1,-1
19991029,-1,-1
19991030,-1,-1
19991031,-1,-1
19991101,-1,-1
