Station;RAMSAU;AM;DACHSTEIN;;;;;;
Altitude;1207;;;;;;;;
Easting;422687;;;;;;;;
Northing;391740;;;;;;;;
year;month;day;hour;temp;precip;short_in;rel_hum;wind_speed;long_in
2010;1;1;0;272,25;0;0;94;1,4;247,3769728
2010;1;1;1;271,95;0;0;98;0,5;250,1389736
2010;1;1;2;272,35;0;0;98;0,6;252,5542831
2010;1;1;3;272,55;0;0;98;0,7;253,7757566
2010;1;1;4;272,15;0;0;98;0,7;251,3420467
2010;1;1;5;271,65;0;0;97;0,7;247,1861881
2010;1;1;6;270,25;0;0;96;0,7;238,1119424
2010;1;1;7;270,25;0;0;96;0,7;238,1119424
2010;1;1;8;269,95;0;30,56;96;0,7;236,4631217
2010;1;1;9;270,35;0;100;96;0,4;238,6656743
2010;1;1;10;271,15;0;200;96;0,5;243,1711205
2010;1;1;11;271,75;0;208,33;96;1,2;246,6403479
2010;1;1;12;272,15;0;244,44;97;0,9;250,151466
2010;1;1;13;272,75;0;236,11;97;0,5;253,7847313
2010;1;1;14;272,25;0;172,22;97;0,3;250,7512876
2010;1;1;15;271,65;0;52,78;96;0,7;246,0566771
2010;1;1;16;271,25;0;8,33;96;1;243,7438897
2010;1;1;17;271,25;0;0;96;1,1;243,7438897
2010;1;1;18;271,85;0;0;96;0,8;247,2262267
2010;1;1;19;272,45;0;0;96;3;250,788385
2010;1;1;20;272,65;0;0;96;2,8;251,9938524
2010;1;1;21;272,35;0;0;96;2,7;250,1890644
2010;1;1;22;272,45;0;0;96;3,3;250,788385
2010;1;1;23;272,55;0;0;96;2;251,3899779
2010;1;2;0;272,45;0;0;96;0,6;250,788385
2010;1;2;1;272,55;0,1;0;96;0,3;251,3899779
2010;1;2;2;272,35;0,2;0;96;2;250,1890644
2010;1;2;3;271,35;0;0;74;2,9;226,3702294
2010;1;2;4;270,85;0;0;66;4,1;219,5866168
2010;1;2;5;270,35;0;0;64;3,8;216,3527642
2010;1;2;6;269,75;0;0;69;2,3;216,0743098
2010;1;2;7;269,25;0;0;63;2,8;211,0924032
2010;1;2;8;268,85;0;22,22;65;2,7;210,2497039
