datum,schnee,neuschnee
19661216,45,-1
19661217,40,-1
19661218,38,1
19661219,35,1
19661220,37,2
19661221,40,4
19661222,45,7
19661223,58,13
19661224,75,18
19661225,80,6
19661226,78,-1
19661227,76,-1
19661228,76,-1
19661229,78,2
19661230,80,3
19661231,82,2
19670101,80,-1
19670102,83,4
19670103,103,22
19670104,100,-1
19670105,100,-1
19670106,100,-1
19670107,120,20
19670108,120,-1
19670109,120,-1
19670110,120,-1
19670111,120,-1
19670112,123,4
19670113,130,8
19670114,130,5
19670115,130,5
19670116,130,-1
19670117,125,-1
19670118,125,-1
19670119,125,-1
19670120,125,-1
19670121,120,-1
19670122,120,-1
19670123,120,2
19670124,120,-1
19670125,120,-1
19670126,120,4
19670127,130,10
19670128,160,30
19670129,145,-1
19670130,130,-1
19670131,120,-1
19670201,120,9999
19670202,115,9999
19670203,100,9999
19670204,100,9999
19670205,103,9999
19670206,105,9999
19670207,105,9999
19670208,105,9999
19670209,115,9999
19670210,115,9999
19670211,115,9999
19670212,115,9999
19670213,110,9999
19670214,95,9999
19670215,90,9999
19670216,80,9999
19670217,75,9999
19670218,70,9999
19670219,70,9999
19670220,65,9999
19670221,60,9999
19670222,65,9999
19670223,65,9999
19670224,65,9999
19670225,65,9999
19670226,60,9999
19670227,60,9999
19670228,60,9999
19670301,60,9999
19670302,65,9999
19670303,65,9999
19670304,65,9999
19670305,60,9999
19670306,60,9999
19670307,60,9999
19670308,60,9999
19670309,50,9999
19670310,50,9999
19670311,45,9999
19670312,50,9999
19670313,50,9999
19670314,55,9999
19670315,55,9999
19670316,55,9999
19670317,80,9999
19670318,85,9999
19670319,95,9999
19670320,115,9999
19670321,140,9999
19670322,130,9999
19670323,120,9999
19670324,125,9999
19670325,125,9999
19670326,120,9999
19670327,120,9999
19670328,120,9999
19670329,130,9999
19670330,125,9999
19670331,125,9999
19670401,135,9999
19670402,140,9999
19670403,145,9999
19670404,155,9999
19670405,165,9999
19670406,160,9999
19670407,160,9999
19670408,160,9999
19670409,150,9999
19670410,140,9999
19670411,130,9999
19670412,125,9999
19670413,120,9999
19670414,110,9999
19670415,110,9999
19670416,105,9999
19670417,100,9999
19670418,95,9999
19670419,95,9999
19670420,85,9999
19670421,80,9999
19670422,90,9999
19670423,100,9999
19670424,110,9999
19670425,120,9999
19670426,110,9999
19670427,110,9999
19670428,105,9999
19670429,105,9999
19670430,100,9999
19670501,90,9999
19670502,80,9999
19670503,85,9999
19670504,85,9999
19670505,80,9999
19670506,75,9999
19670507,70,9999
19670508,60,9999
19670509,55,9999
19670510,50,9999
19670511,45,9999
19670512,40,9999
19670513,30,9999
19670514,25,9999
19670515,20,9999
19670516,-1,9999
19670517,-1,9999
19670518,-1,9999
19670519,-1,9999
19670520,-1,9999
19670521,-1,9999
19670522,-1,9999
19670523,-1,9999
19670524,15,9999
19670525,-1,9999
19670526,-1,9999
19670527,-1,9999
19670528,-1,9999
19670529,-1,9999
19670530,-1,9999
19670531,10,9999
19670601,25,9999
19670602,10,9999
19670603,-1,9999
19670604,-1,9999
19670605,-1,9999
19670606,-1,9999
19670607,-1,9999
19670608,-1,9999
19670609,10,9999
19670610,15,9999
19670611,10,9999
19670612,5,9999
19670613,-1,9999
19670614,15,9999
19670615,25,9999
19670616,15,9999
19670617,10,9999
19670618,-1,9999
19670619,-1,9999
19670620,-1,9999
19670621,-1,9999
19670622,-1,9999
19670623,-1,9999
19670624,-1,9999
19670625,-1,9999
19670626,-1,9999
19670627,-1,9999
19670628,-1,9999
19670629,-1,9999
19670630,-1,9999
19670701,-1,9999
19670702,-1,9999
19670703,-1,9999
19670704,-1,9999
19670705,-1,9999
19670706,-1,9999
19670707,-1,9999
19670708,-1,9999
19670709,-1,9999
19670710,0,9999
19670711,-1,9999
19670712,-1,9999
19670713,-1,9999
19670714,-1,9999
19670715,-1,9999
19670716,-1,9999
19670717,-1,9999
19670718,-1,9999
19670719,-1,9999
19670720,-1,9999
19670721,-1,9999
19670722,-1,9999
19670723,-1,9999
19670724,-1,9999
19670725,-1,9999
19670726,-1,9999
19670727,-1,9999
19670728,-1,9999
19670729,-1,9999
19670730,-1,9999
19670731,-1,9999
19670801,-1,9999
19670802,-1,9999
19670803,-1,9999
19670804,-1,9999
19670805,-1,9999
19670806,-1,9999
19670807,-1,9999
19670808,-1,9999
19670809,-1,9999
19670810,-1,9999
19670811,-1,9999
19670812,-1,9999
19670813,-1,9999
19670814,-1,9999
19670815,-1,9999
19670816,-1,9999
19670817,-1,9999
19670818,-1,9999
19670819,-1,9999
19670820,-1,9999
19670821,-1,9999
19670822,-1,9999
19670823,-1,9999
19670824,-1,9999
19670825,-1,9999
19670826,-1,9999
19670827,-1,9999
19670828,-1,9999
19670829,-1,9999
19670830,-1,9999
19670831,-1,9999
19670901,-1,9999
19670902,-1,9999
19670903,-1,9999
19670904,-1,9999
19670905,10,9999
19670906,-1,9999
19670907,-1,9999
19670908,12,9999
19670909,-1,9999
19670910,5,9999
19670911,10,9999
19670912,12,9999
19670913,-1,9999
19670914,-1,9999
19670915,-1,9999
19670916,2,9999
19670917,-1,9999
19670918,-1,9999
19670919,-1,9999
19670920,-1,9999
19670921,-1,9999
19670922,-1,9999
19670923,-1,9999
19670924,-1,9999
19670925,-1,9999
19670926,-1,9999
19670927,-1,9999
19670928,-1,9999
19670929,-1,9999
19670930,-1,9999
19671001,-1,9999
19671002,-1,9999
19671003,-1,9999
19671004,-1,9999
19671005,10,9999
19671006,2,9999
19671007,-1,9999
19671008,-1,9999
19671009,-1,9999
19671010,-1,9999
19671011,-1,9999
19671012,-1,9999
19671013,-1,9999
19671014,-1,9999
19671015,-1,9999
19671016,-1,9999
19671017,-1,9999
19671018,3,9999
19671019,-1,9999
19671020,-1,9999
19671021,-1,9999
19671022,-1,9999
19671023,-1,9999
19671024,-1,9999
19671025,-1,9999
19671026,-1,9999
19671027,-1,9999
19671028,-1,9999
19671029,-1,9999
19671030,20,9999
19671031,15,9999
19671101,5,9999
19671102,2,9999
19671103,10,9999
19671104,25,9999
19671105,10,9999
19671106,12,9999
19671107,17,9999
19671108,12,9999
19671109,3,9999
19671110,3,9999
19671111,3,9999
19671112,2,9999
19671113,1,9999
19671114,-1,9999
19671115,-1,9999
19671116,-1,9999
19671117,-1,9999
19671118,-1,9999
19671119,-1,9999
19671120,-1,9999
19671121,-1,9999
19671122,-1,9999
